ImageId,EncodedPixels
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,530 2 1051 5 1575 6 2099 6 2623 6 3147 5 3671 5 4195 5 4719 5 5243 5 5767 5 6291 5 6815 5 7339 5 7863 5 8387 5 8911 6 9435 6 9959 5 10483 5 11007 6 11531 6 12055 6 12579 6 13102 7 13627 6 14151 6 14675 6 15199 6 15723 5 16246 6 16771 5 17295 5 17819 5 18343 4 18867 3 19391 4 19915 4 20439 4 20963 3 21487 2 22011 2 22535 1 23059 1 23583 1 24107 1 24631 1 25155 1 25679 1 26203 1 26727 1 27251 1 27775 2 28299 1 28823 1 29347 2 29871 2 30394 3 30919 3 31443 4 31967 4 32490 5 33014 5 33538 5 34062 6 34587 5 35110 6 35634 6 36158 6 36682 6 37206 7 37730 7 38254 7 38778 7 39302 7 39826 8 40350 8 40874 8 41398 9 41922 10 42446 11 42970 14 43494 14 44018 15 44542 16 45066 17 45590 18 46115 18 46638 19 47162 19 47686 20 48210 20 48735 19 49258 20 49782 20 50306 20 50830 20 51354 20 51878 20 52402 20 52926 19 53450 19 53974 19 54498 19 55022 18 55546 18 56070 17 56594 17 57118 16 57642 16 58166 15 58690 14 59214 14 59738 13 60263 11 60787 9 61311 8 61835 6 62359 5 62883 5 63407 4 63931 2 64455 1 64979 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,100087 5 100611 5 101135 6 101658 7 102182 8 102707 7 103230 8 103754 9 104278 9 104802 9 105327 8 105851 8 106375 8 106898 9 107422 9 107947 8 108471 7 108995 7 109519 7 110043 7 110567 7 111091 6 111615 6 112139 6 112663 5 113187 5 113711 5 114235 4 114759 4 115283 2 115807 2 116331 2 116855 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,149890 2 150412 5 150916 5 150934 7 151440 13 151457 8 151963 26 152487 26 153011 26 153535 26 154059 26 154583 25 155107 25 155630 25 156155 22 156679 21 157203 21 157727 8 157738 2 158251 7 158775 6 159299 5 159823 5 160347 5 160871 5 161395 4 161919 4 162443 5 162967 5 163491 4 164015 2 164539 2 165063 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,67075 1 67599 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,70219 1 70743 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,72315 1 72839 1 73363 1 73887 1 74411 1 74935 1 75459 2 75983 2 76507 3 77031 4 77555 4 78079 4 78603 4 79127 4 79651 5 80175 5 80699 6 81223 6 81747 6 82271 7 82795 8 83319 9 83843 10 84367 10 84891 9 85415 8 85940 6 86464 4
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,117903 1 118427 1 118951 1 119475 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,121047 1 121571 1 122095 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,124191 1 124715 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,127335 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,129955 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,132575 1 133099 1 133623 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,135195 1 135719 1 136243 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,138339 1 138863 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,166635 1 167159 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,172399 1 172923 1 173447 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,175019 1 175543 1 176067 1 176591 1 177115 1 177639 1 178163 1 178687 1
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,3200 1 3724 1 4248 3 4772 5 5295 6 5818 6 6342 6 6865 8 7389 8 7912 9 8436 8 8960 8 9483 9 10007 9 10531 9 11054 10 11578 10 12101 10 12625 10 13149 10 13673 9 14197 9 14721 9 15246 7 15771 5 16295 3
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,23120 5 23643 8 24167 9 24690 11 25214 12 25737 14 26261 14 26785 14 27309 14 27832 15 28356 15 28880 16 29404 15 29928 15 30452 15 30977 14 31501 14 32025 13 32550 12 33075 9 33602 4
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,105961 3 106485 2
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,149465 6 149987 9 150510 11 151034 12 151557 14 152081 15 152605 15 153129 15 153653 15 154177 16 154702 15 155226 15 155751 14 156275 14 156800 13 157324 13 157849 12 158373 12 158898 11 159422 11 159946 12 160470 13 160994 13 161518 13 162041 14 162565 15 163089 15 163613 15 164138 13 164662 13 165186 12 165711 10 166236 7
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,121702 5 122225 7 122748 10 123271 12 123794 13 124318 14 124841 15 125365 15 125889 16 126412 17 126936 16 127460 16 127984 16 128508 16 129032 16 129556 15 130079 16 130604 14 131128 14 131652 13 132177 11 132704 5
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,79813 6 80313 6 80335 9 80835 10 80858 11 81358 13 81381 12 81881 15 81905 13 82405 16 82428 14 82928 18 82951 15 83452 18 83475 15 83976 22 83999 15 84500 38 85024 38 85547 39 86071 23 86095 15 86595 22 86620 13 87119 20 87145 11 87643 19 87671 8 88168 18 88692 17 89217 14 89742 11 90270 5
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,102328 4 102850 9 103373 11 103896 12 104420 13 104943 14 105467 14 105991 15 106514 16 107038 16 107562 16 108085 16 108609 16 109133 16 109657 16 110181 15 110705 15 111229 15 111754 13 112279 10 112805 4
b83d1d77935b6cfd44105b54600ffc4b6bd82de57dec65571bcb117fa8398ba3,39974 5 40498 6 41021 7 41545 6 42069 6 42592 7 43116 7 43640 7 44164 5 44689 3 45213 3 45737 2
